match_date,Winners
8/24/2016,MOUSESPORTS
8/24/2016,NIP
8/24/2016,MOUSESPORTS
8/24/2016,ENVY
8/24/2016,ASTRALIS
8/24/2016,ASTRALIS
8/23/2016,DIGNITAS
8/23/2016,NIP
8/23/2016,ENVY
8/23/2016,ENVY
8/23/2016,IMMORTALS
8/22/2016,CLOUD9
8/21/2016,CLOUD9
8/21/2016,FAZE
8/21/2016,FAZE
8/21/2016,NATUS VINCERE
8/21/2016,NATUS VINCERE
8/21/2016,LIQUID
8/21/2016,LIQUID
8/20/2016,FAZE
8/20/2016,ENVY
8/20/2016,NATUS VINCERE
8/20/2016,NATUS VINCERE
8/18/2016,FAZE
8/18/2016,DIGNITAS
8/18/2016,FAZE
8/17/2016,CLOUD9
8/17/2016,CLOUD9
8/17/2016,VIRTUS.PRO
8/17/2016,X
8/17/2016,NIP
8/16/2016,DIGNITAS
8/15/2016,VIRTUS.PRO
7/30/2016,VIRTUS.PRO
7/30/2016,VIRTUS.PRO
7/29/2016,FNATIC
7/23/2016,VIRTUS.PRO
7/22/2016,MOUSESPORTS
7/21/2016,NATUS VINCERE
7/21/2016,FNATIC
7/17/2016,CLOUD9
7/16/2016,MOUSESPORTS
7/14/2016,MOUSESPORTS
7/13/2016,VIRTUS.PRO
7/10/2016,SK
7/9/2016,LIQUID
7/9/2016,SK
7/8/2016,FNATIC
7/8/2016,LIQUID
7/8/2016,VIRTUS.PRO
7/7/2016,FNATIC
7/7/2016,LIQUID
7/7/2016,ASTRALIS
7/6/2016,FNATIC
7/6/2016,SK
7/6/2016,MOUSESPORTS
7/6/2016,VIRTUS.PRO
7/6/2016,NATUS VINCERE
7/6/2016,GAMBIT
7/5/2016,FAZE
7/5/2016,SK
7/5/2016,VIRTUS.PRO
7/5/2016,LIQUID
7/5/2016,NIP
7/5/2016,ASTRALIS
7/2/2016,ENVY
6/30/2016,VIRTUS.PRO
6/29/2016,VIRTUS.PRO
6/29/2016,GAMBIT
6/28/2016,ENVY
6/28/2016,VIRTUS.PRO
6/28/2016,ENVY
6/28/2016,ENVY
6/26/2016,G2
6/26/2016,G2
6/25/2016,G2
6/25/2016,CLOUD9
6/25/2016,G2
6/24/2016,FNATIC
6/24/2016,LUMINOSITY
6/24/2016,LIQUID
6/24/2016,LUMINOSITY
6/21/2016,NATUS VINCERE
6/21/2016,MOUSESPORTS
6/20/2016,IMMORTALS
6/20/2016,NIP
6/20/2016,IMMORTALS
6/19/2016,IMMORTALS
6/18/2016,GODSENT
6/18/2016,ASTRALIS
6/18/2016,GODSENT
6/18/2016,SK
6/18/2016,FNATIC
6/16/2016,FAZE
6/15/2016,FNATIC
6/15/2016,FNATIC
6/14/2016,FAZE
6/14/2016,FNATIC
6/14/2016,FAZE
6/14/2016,FAZE
6/12/2016,G2
6/12/2016,DIGNITAS
6/12/2016,ENVY
6/12/2016,OPTIC
6/11/2016,MOUSESPORTS
6/11/2016,CLOUD9
6/11/2016,HELLRAISERS
6/11/2016,ASTRALIS
6/10/2016,MOUSESPORTS
6/10/2016,G2
6/10/2016,TYLOO
6/9/2016,CLG
6/9/2016,G2
6/9/2016,FAZE
6/9/2016,ENVY
6/8/2016,ASTRALIS
6/8/2016,SK
6/7/2016,CLG
6/7/2016,SK
6/5/2016,VIRTUS.PRO
6/4/2016,NIP
6/2/2016,NIP
6/1/2016,G2
6/1/2016,G2
5/31/2016,G2
5/31/2016,G2
5/31/2016,NIP
5/31/2016,NIP
